from_node,to_node,length_m,free_flow_speed_kmh,lanes,capacity,road_name,district,oneway,lanes_imputed,speed_imputed,road_name_missing,district_matched_by
1263333967,3683225182,19.609,60.0,3,4079,文心路三段,西屯區,yes,False,False,False,contains
1263333984,1263333961,20.43,50.0,1,1360,大隆路,西屯區,no,True,True,False,contains
1263333984,1263334057,140.466,60.00000000000001,3,4079,文心路二段,西屯區,yes,False,False,False,contains
1263334016,263182355,23.144,50.0,1,1360,大業路,南屯區,no,True,True,False,contains
1263334016,5645881375,191.822,60.00000000000001,3,4079,文心路一段,南屯區,yes,False,False,False,contains
1263334029,2406512851,23.994,50.0,1,1360,五權西路二段,南屯區,yes,True,False,False,contains
1263334032,5499260746,116.314,60.0,3,4079,文心路一段,南屯區,yes,False,False,False,contains
1263334032,5536966028,30.835,50.0,1,1360,向心路,南屯區,no,True,True,False,contains
1263334034,704461096,19.027,60.00000000000001,3,4079,文心路二段,西屯區,yes,False,False,False,contains
1263334038,1208293900,22.938,50.0,1,1360,大墩十一街,南屯區,no,True,True,False,contains
1263334038,5536966026,224.14600000000002,60.00000000000001,3,4079,文心路一段,南屯區,yes,False,False,False,contains
1263334039,1263334029,13.343,60.0,3,4079,文心路一段,南屯區,yes,False,False,False,contains
1263334057,2255483095,156.084,60.0,3,4079,文心路二段,西屯區,yes,False,False,False,contains
1263334057,2775522632,16.943,50.0,1,1360,大墩十九街,西屯區,no,True,True,False,contains
1264707073,2222553894,13.636,60.0,3,4079,文心路三段,西屯區,yes,False,False,False,contains
1264707084,378725851,126.926,50.0,1,1360,西屯路二段,西屯區,no,True,True,False,contains
1264707084,387741398,18.06,50.0,1,1360,西屯路二段,西屯區,no,True,True,False,contains
1264707084,1264707114,88.861,60.00000000000001,3,4079,文心路三段,西屯區,yes,False,False,False,contains
1264707090,1264707117,11.215,50.0,3,4079,文心路四段,北屯區,yes,False,True,False,contains
1264707095,1245798154,15.058,50.0,1,1360,昌平路一段,北屯區,no,True,True,False,contains
1264707095,1282923531,333.87799999999993,59.99999999999999,3,4079,文心路四段,北屯區,yes,False,False,False,contains
1264707098,1264707115,10.361,59.99999999999999,4,5439,文心路四段,北屯區,no,False,False,False,contains
1264707098,2440630883,366.92,60.0,3,4079,文心路四段,北屯區,yes,False,False,False,contains
1264707103,387741401,26.74,50.0,1,1360,河南路一段,西屯區,no,True,True,False,contains
1264707103,2403409706,223.72600000000003,50.00000000000001,3,4079,文心路三段,西屯區,yes,False,True,False,contains
1264707114,387741226,23.033,50.0,1,1360,青海路一段,西屯區,no,True,True,False,contains
1264707114,2310876558,156.68,60.00000000000001,3,4079,文心路三段,西屯區,yes,False,False,False,contains
1264707115,1264707098,10.361,59.99999999999999,4,5439,文心路四段,北屯區,no,False,False,False,contains
1264707115,3169776373,1380.342,50.00000000000001,3,4079,北屯路,北屯區,yes,False,False,False,contains
1264707117,387741404,23.102,50.0,1,1360,中清路二段,北屯區,yes,True,True,False,contains
1264707117,3198439733,290.31600000000003,50.0,3,4079,文心路三段,北屯區,yes,False,True,False,contains
1270027352,2127364235,133.17499999999998,49.99999999999999,4,5439,臺灣大道一段,中區,no,False,False,False,contains
1270027352,2222522344,134.494,50.0,4,5439,臺灣大道一段,中區,no,False,False,False,contains
1270027352,2222522366,104.378,50.0,1,1360,興中街,中區,yes,True,True,False,contains
1270027354,1270027375,108.583,49.99999999999999,4,5439,臺灣大道一段,中區,no,False,False,False,contains
1270027354,1270027397,114.035,50.00000000000001,4,5439,臺灣大道一段,中區,no,False,False,False,contains
1270027356,2285774450,318.815,49.99999999999999,2,2719,英才路,北區,no,False,False,False,contains
1270027356,2775551888,462.02299999999997,49.99999999999999,1,1360,民權路,北區,no,True,True,False,contains
1270027356,7936102876,388.78600000000006,50.00000000000001,2,2719,英才路,北區,no,False,False,False,contains
1270027375,1270027354,108.583,49.99999999999999,4,5439,臺灣大道一段,中區,no,False,False,False,contains
